"","Size","Type","Width"
"1",10.7372930708807,"Class B",6.30027844112417
"2",5.64610419562086,"Class A",4.79116244505634
"3",13.411818847293,"Class A",12.6544463117496
"4",9.81796907540411,"Class B",10.528744033308
"5",17.0055469307117,"Class A",13.9740175620067
"6",5.02617213572375,"Class B",6.9157899864004
"7",16.2975011258386,"Class B",13.3967714075954
"8",8.57429310306907,"Class A",10.8897083216345
"9",17.6814105880912,"Class A",14.0732021475051
"10",12.4089445471764,"Class A",14.2828529794049
"11",2.77524869772606,"Class A",2.24699063490325
"12",10.3623437334318,"Class A",9.94530192370624
"13",5.64637404843234,"Class A",5.47115021550602
"14",4.48806796455756,"Class A",6.72962215039067
"15",8.47423328598961,"Class B",5.38692803953372
"16",9.80436557973735,"Class A",12.1643512590526
"17",6.21324782958254,"Class B",4.76189520650663
"18",7.66962445015088,"Class B",8.65277516827172
"19",9.51202804083005,"Class B",9.05829344535724
"20",5.90233522094786,"Class B",9.73778815800247
"21",2.75552012468688,"Class B",1.17624050666437
"22",9.06716895033605,"Class B",6.83781450660406
"23",8.94485139613971,"Class A",5.62124411605577
"24",7.25271068303846,"Class A",6.88445661284152
"25",16.8206056731287,"Class B",12.9741457235573
"26",11.6192663728725,"Class B",11.5445297163985
"27",17.9950769881252,"Class B",16.9251439720903
"28",5.72310047340579,"Class B",9.76739564393844
"29",7.86618059198372,"Class B",5.58989376786642
"30",10.1998384511098,"Class B",8.57098702409425
